Mismatch at pos (157, 159) cpu: -6.04758e-05 gpu: -6.0488e-05
Mismatch at pos (157, 160) cpu: -9.17066e-05 gpu: -9.17186e-05
Mismatch at pos (157, 161) cpu: -0.000122607 gpu: -0.000122619
Mismatch at pos (157, 162) cpu: -0.000153066 gpu: -0.000153078
Mismatch at pos (157, 163) cpu: -0.000182974 gpu: -0.000182987
Mismatch at pos (157, 164) cpu: -0.000212224 gpu: -0.000212237
Mismatch at pos (157, 165) cpu: -0.00024071 gpu: -0.000240722
Mismatch at pos (157, 209) cpu: -1.38667e-05 gpu: -1.38677e-05
Mismatch at pos (158, 52) cpu: -0.000131125 gpu: -0.000131114
Mismatch at pos (158, 53) cpu: 0.000233465 gpu: 0.000233476
Mismatch at pos (158, 157) cpu: -2.90281e-05 gpu: -2.90399e-05
Mismatch at pos (159, 157) cpu: -6.04768e-05 gpu: -6.04884e-05
Mismatch at pos (160, 157) cpu: -9.17077e-05 gpu: -9.1719e-05
Mismatch at pos (161, 157) cpu: -0.000122609 gpu: -0.00012262
Mismatch at pos (162, 157) cpu: -0.000153068 gpu: -0.000153079
Mismatch at pos (163, 157) cpu: -0.000182977 gpu: -0.000182988
Mismatch at pos (164, 157) cpu: -0.000212227 gpu: -0.000212238
Mismatch at pos (165, 157) cpu: -0.000240713 gpu: -0.000240724
Mismatch at pos (208, 52) cpu: -0.000204919 gpu: -0.000204928
Mismatch at pos (208, 157) cpu: -4.53922e-05 gpu: -4.5389e-05
Mismatch at pos (209, 51) cpu: -0.000236634 gpu: -0.000236643
Mismatch at pos (209, 52) cpu: -6.26289e-05 gpu: -6.26377e-05
Mismatch at pos (209, 53) cpu: 0.000111602 gpu: 0.000111593
Mismatch at pos (209, 105) cpu: -4.88331e-05 gpu: -4.88364e-05
Mismatch at pos (209, 157) cpu: -1.38798e-05 gpu: -1.38762e-05
Mismatch at pos (209, 209) cpu: 7.66249e-05 gpu: 7.66297e-05
Mismatch at pos (209, 210) cpu: -9.76137e-05 gpu: -9.76091e-05
Mismatch at pos (210, 52) cpu: 7.98868e-05 gpu: 7.98773e-05
Mismatch at pos (210, 53) cpu: -0.000142152 gpu: -0.000142161
Mismatch at pos (210, 105) cpu: 6.22374e-05 gpu: 6.22335e-05
Mismatch at pos (210, 157) cpu: 1.76822e-05 gpu: 1.76864e-05
Mismatch at pos (210, 209) cpu: -9.76141e-05 gpu: -9.76093e-05
Mismatch at pos (211, 52) cpu: 0.000222115 gpu: 0.000222105
Mismatch at pos (211, 157) cpu: 4.91807e-05 gpu: 4.91853e-05
Mismatch at pos (212, 157) cpu: 8.05021e-05 gpu: 8.05072e-05
Mismatch at pos (213, 157) cpu: 0.000111534 gpu: 0.000111539
Mismatch at pos (217, 157) cpu: 0.000230552 gpu: 0.00023056
